unit,total_occurrences,unique_units,units_repeated_in_multiple_reviews,occurrences_beyond_first,proportion_unique_units_repeated,proportion_occurrences_beyond_first,interpretation
Publication,545,429,94,116,0.2191142191142191,0.21284403669724772,Intuitive duplication burden among reviews with reconstructable lists; reported with CCA and coverage.
Conservatively linked cohort family,579,452,97,127,0.21460176991150443,0.21934369602763384,Intuitive duplication burden among reviews with reconstructable lists; reported with CCA and coverage.
