master_id,analysis_cell,predictor,time,threshold,estimate_SENSITIVITY,estimate_SPECIFICITY,ci_low_SENSITIVITY,ci_low_SPECIFICITY,ci_high_SENSITIVITY,ci_high_SPECIFICITY,test_id,likelihood_ratio_positive,likelihood_ratio_negative,lr_positive_plausible_low,lr_positive_plausible_high,lr_negative_plausible_low,lr_negative_plausible_high,uncertainty_note,causal_note,reported_npv,reported_npv_ci_low,reported_npv_ci_high,reported_effect_id,declared_response_prevalence,implied_response_prevalence,recalculated_npv_at_50,recalculated_npv_at_65,recalculated_npv_at_80,absolute_discrepancy_at_declared_prevalence,audit_status,preservation_rule
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >12 mmHg/mL/min,0.769,0.33999999999999997,0.706,0.21200000000000002,0.8250000000000001,0.48800000000000004,FT-010 | Lumbar infusion test—Rout | Rout >12 mmHg/mL/min,1.165151515151515,0.6794117647058824,0.8959390862944162,1.611328125,0.358606557377049,1.3867924528301887,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.262,0.16,0.385,FE-0024,0.65,0.8056716820467373,0.5954465849387041,0.4421326397919375,0.26898734177215183,0.1801326397919375,INTERNALLY_INCONSISTENT_IMPLIED_PREVALENCE_APPROX_80_PERCENT,"Published NPV is retained unchanged; recalculation is an audit flag, not a replacement."
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >14 mmHg/mL/min,0.8160000000000001,0.372,0.75,0.23,0.8710000000000001,0.533,FT-010 | Lumbar infusion test—Rout | Rout >14 mmHg/mL/min,1.299363057324841,0.49462365591397833,0.974025974025974,1.865096359743041,0.2420262664165101,1.0869565217391304,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.33299999999999996,0.20400000000000001,0.48400000000000004,FE-0027,0.65,0.8019625334522748,0.6690647482014389,0.5212169735788631,0.335740072202166,0.18821697357886313,INTERNALLY_INCONSISTENT_IMPLIED_PREVALENCE_APPROX_80_PERCENT,"Published NPV is retained unchanged; recalculation is an audit flag, not a replacement."
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >18 mmHg/mL/min,0.366,0.7799999999999999,0.318,0.6859999999999999,0.41500000000000004,0.8570000000000001,FT-010 | Lumbar infusion test—Rout | Rout >18 mmHg/mL/min,1.663636363636363,0.8128205128205129,1.0127388535031845,2.9020979020979043,0.6826137689614935,0.9941690962099126,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.234,0.19,0.28300000000000003,FE-0030,0.65,0.8010876385693368,0.5516265912305516,0.398481973434535,0.2352231604342581,0.164481973434535,INTERNALLY_INCONSISTENT_IMPLIED_PREVALENCE_APPROX_80_PERCENT,"Published NPV is retained unchanged; recalculation is an audit flag, not a replacement."
