label,master_id,source_status,pretest_probability,post_test_probability_negative
Rout >12,FT-010,peer_reviewed_full_report,0.3825,0.2961960393218408
Rout >12,FT-010,peer_reviewed_full_report,0.385,0.2984045498011979
Rout >12,FT-010,peer_reviewed_full_report,0.3875,0.3006171025565677
Rout >12,FT-010,peer_reviewed_full_report,0.39,0.30283370869609066
Rout >12,FT-010,peer_reviewed_full_report,0.3925,0.3050543793686442
Rout >12,FT-010,peer_reviewed_full_report,0.395,0.30727912576403044
Rout >12,FT-010,peer_reviewed_full_report,0.3975,0.30950795911316353
Rout >12,FT-010,peer_reviewed_full_report,0.4,0.3117408906882591
Rout >12,FT-010,peer_reviewed_full_report,0.4025,0.3139779318030241
Rout >12,FT-010,peer_reviewed_full_report,0.405,0.3162190938128476
Rout >12,FT-010,peer_reviewed_full_report,0.40750000000000003,0.31846438811499334
Rout >12,FT-010,peer_reviewed_full_report,0.41000000000000003,0.3207138261487928
Rout >12,FT-010,peer_reviewed_full_report,0.4125,0.3229674193958395
Rout >12,FT-010,peer_reviewed_full_report,0.41500000000000004,0.3252251793801843
Rout >12,FT-010,peer_reviewed_full_report,0.4175,0.32748711766853145
Rout >12,FT-010,peer_reviewed_full_report,0.42000000000000004,0.32975324587043714
Rout >12,FT-010,peer_reviewed_full_report,0.4225,0.3320235756385069
Rout >12,FT-010,peer_reviewed_full_report,0.42500000000000004,0.33429811866859627
Rout >12,FT-010,peer_reviewed_full_report,0.4275,0.33657688670001107
Rout >12,FT-010,peer_reviewed_full_report,0.43000000000000005,0.3388598915157098
Rout >12,FT-010,peer_reviewed_full_report,0.4325,0.34114714494250614
Rout >12,FT-010,peer_reviewed_full_report,0.43500000000000005,0.343438658851274
Rout >12,FT-010,peer_reviewed_full_report,0.4375,0.34573444515715207
Rout >12,FT-010,peer_reviewed_full_report,0.44,0.34803451581975076
Rout >12,FT-010,peer_reviewed_full_report,0.4425,0.3503388828433599
Rout >12,FT-010,peer_reviewed_full_report,0.445,0.35264755827715744
Rout >12,FT-010,peer_reviewed_full_report,0.4475,0.35496055421541944
Rout >12,FT-010,peer_reviewed_full_report,0.45,0.3572778827977316
Rout >12,FT-010,peer_reviewed_full_report,0.4525,0.3595995562092009
Rout >12,FT-010,peer_reviewed_full_report,0.455,0.3619255866806701
Rout >12,FT-010,peer_reviewed_full_report,0.4575,0.3642559864889318
Rout >12,FT-010,peer_reviewed_full_report,0.46,0.36659076795694473
Rout >12,FT-010,peer_reviewed_full_report,0.4625,0.3689299434540511
Rout >12,FT-010,peer_reviewed_full_report,0.465,0.37127352539619446
Rout >12,FT-010,peer_reviewed_full_report,0.4675,0.3736215262461403
Rout >12,FT-010,peer_reviewed_full_report,0.47000000000000003,0.375973958513696
Rout >12,FT-010,peer_reviewed_full_report,0.47250000000000003,0.3783308347559339
Rout >12,FT-010,peer_reviewed_full_report,0.47500000000000003,0.3806921675774136
Rout >12,FT-010,peer_reviewed_full_report,0.47750000000000004,0.38305796963040784
Rout >12,FT-010,peer_reviewed_full_report,0.48000000000000004,0.385428253615128
Rout >12,FT-010,peer_reviewed_full_report,0.48250000000000004,0.387803032279951
Rout >12,FT-010,peer_reviewed_full_report,0.48500000000000004,0.3901823184216484
Rout >12,FT-010,peer_reviewed_full_report,0.48750000000000004,0.392566124885616
Rout >12,FT-010,peer_reviewed_full_report,0.49,0.3949544645661049
Rout >12,FT-010,peer_reviewed_full_report,0.4925,0.39734735040645436
Rout >12,FT-010,peer_reviewed_full_report,0.495,0.3997447953993253
Rout >12,FT-010,peer_reviewed_full_report,0.4975,0.40214681258693546
Rout >12,FT-010,peer_reviewed_full_report,0.5,0.404553415061296
Rout >12,FT-010,peer_reviewed_full_report,0.5025,0.40696461596444944
Rout >12,FT-010,peer_reviewed_full_report,0.505,0.40938042848870876
Rout >12,FT-010,peer_reviewed_full_report,0.5075000000000001,0.41180086587689807
Rout >12,FT-010,peer_reviewed_full_report,0.51,0.4142259414225941
Rout >12,FT-010,peer_reviewed_full_report,0.5125,0.41665566847037083
Rout >12,FT-010,peer_reviewed_full_report,0.515,0.4190900604160428
Rout >12,FT-010,peer_reviewed_full_report,0.5175000000000001,0.4215291307069123
Rout >12,FT-010,peer_reviewed_full_report,0.52,0.4239728928420161
Rout >12,FT-010,peer_reviewed_full_report,0.5225,0.42642136037237566
Rout >12,FT-010,peer_reviewed_full_report,0.525,0.4288745469012466
Rout >12,FT-010,peer_reviewed_full_report,0.5275000000000001,0.431332466084371
Rout >12,FT-010,peer_reviewed_full_report,0.53,0.4337951316302307
Rout >12,FT-010,peer_reviewed_full_report,0.5325,0.43626255730030233
Rout >12,FT-010,peer_reviewed_full_report,0.535,0.43873475690931363
Rout >12,FT-010,peer_reviewed_full_report,0.5375000000000001,0.4412117443255009
Rout >12,FT-010,peer_reviewed_full_report,0.54,0.44369353347086865
Rout >12,FT-010,peer_reviewed_full_report,0.5425,0.44618013832145054
Rout >12,FT-010,peer_reviewed_full_report,0.545,0.4486715729075714
Rout >12,FT-010,peer_reviewed_full_report,0.5475000000000001,0.4511678513141115
Rout >12,FT-010,peer_reviewed_full_report,0.55,0.4536689876807714
Rout >12,FT-010,peer_reviewed_full_report,0.5525,0.45617499620233937
Rout >12,FT-010,peer_reviewed_full_report,0.5549999999999999,0.45868589112896013
Rout >12,FT-010,peer_reviewed_full_report,0.5575,0.46120168676640433
Rout >12,FT-010,peer_reviewed_full_report,0.56,0.46372239747634075
Rout >12,FT-010,peer_reviewed_full_report,0.5625,0.46624803767660916
Rout >12,FT-010,peer_reviewed_full_report,0.565,0.4687786218414955
Rout >12,FT-010,peer_reviewed_full_report,0.5675,0.4713141645020089
Rout >12,FT-010,peer_reviewed_full_report,0.5700000000000001,0.47385468024615834
Rout >12,FT-010,peer_reviewed_full_report,0.5725,0.47640018371923387
Rout >12,FT-010,peer_reviewed_full_report,0.575,0.47895068962408727
Rout >12,FT-010,peer_reviewed_full_report,0.5775,0.48150621272141564
Rout >12,FT-010,peer_reviewed_full_report,0.5800000000000001,0.48406676783004565
Rout >12,FT-010,peer_reviewed_full_report,0.5825,0.4866323698272199
Rout >12,FT-010,peer_reviewed_full_report,0.585,0.4892030336488859
Rout >12,FT-010,peer_reviewed_full_report,0.5875,0.49177877428998507
Rout >12,FT-010,peer_reviewed_full_report,0.5900000000000001,0.49435960680474456
