master_id,analysis_cell,predictor,time,threshold,estimate_SENSITIVITY,estimate_SPECIFICITY,ci_low_SENSITIVITY,ci_low_SPECIFICITY,ci_high_SENSITIVITY,ci_high_SPECIFICITY,test_id,likelihood_ratio_positive,likelihood_ratio_negative,lr_positive_plausible_low,lr_positive_plausible_high,lr_negative_plausible_low,lr_negative_plausible_high,uncertainty_note,causal_note
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >12 mmHg/mL/min,0.769,0.3399999999999999,0.706,0.212,0.8250000000000001,0.488,FT-010 | Lumbar infusion test—Rout | Rout >12 mmHg/mL/min,1.165151515151515,0.6794117647058824,0.8959390862944162,1.611328125,0.358606557377049,1.3867924528301887,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >14 mmHg/mL/min,0.8160000000000001,0.372,0.75,0.23,0.8710000000000001,0.533,FT-010 | Lumbar infusion test—Rout | Rout >14 mmHg/mL/min,1.299363057324841,0.4946236559139783,0.974025974025974,1.865096359743041,0.2420262664165101,1.0869565217391304,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >18 mmHg/mL/min,0.366,0.7799999999999999,0.318,0.6859999999999999,0.415,0.8570000000000001,FT-010 | Lumbar infusion test—Rout | Rout >18 mmHg/mL/min,1.663636363636363,0.8128205128205129,1.0127388535031845,2.9020979020979043,0.6826137689614935,0.9941690962099126,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.
FT-012,LIT_DTA,Lumbar infusion test,Varied,Study-specific,0.775,0.283,0.702,0.19,0.834,0.399,FT-012 | Lumbar infusion test | Study-specific,1.0808926080892607,0.7950530035335689,0.8666666666666666,1.3876871880199666,0.41604010025062665,1.5684210526315792,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.
FT-012,TAP_TEST_DTA,CSF tap test,Varied,Study-specific,0.641,0.548,0.492,0.418,0.766,0.672,FT-012 | CSF tap test | Study-specific,1.4181415929203542,0.6551094890510948,0.8453608247422679,2.335365853658537,0.3482142857142857,1.2153110047846891,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.
FT-032,STRUCTURAL_IMAGING,DESH,Varied,NR,0.59,0.6599999999999999,0.38,0.5700000000000001,0.77,0.74,FT-032 | DESH | NR,1.7352941176470584,0.6212121212121213,0.8837209302325583,2.9615384615384617,0.3108108108108108,1.087719298245614,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.
FT-036,ELD_DTA,Extended lumbar drainage,Varied,Study-specific ELD response,0.94,0.8500000000000001,0.41,0.3299999999999999,1.0,1.0,FT-036 | Extended lumbar drainage | Study-specific ELD response,6.266666666666671,0.0705882352941175,0.6119402985074627,inf,0.0,1.787878787878788,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.
